Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways,Break_Even_Demand_Increase_Pct
NN8,SPENCER PRIVATE HOSPITALS LTD,3606,1318.0,422.0,3.2018209408194234
NNE,DORKING HEALTHCARE LIMITED (DHC),6110,3852.0,3134.0,8.136033229491174
NPG01,SPAMEDICA MANCHESTER,291,258.0,362.0,14.031007751937985
NPG02,SPAMEDICA WIRRAL,417,390.0,480.0,12.307692307692308
NPG06,SPAMEDICA LIVERPOOL,490,498.0,520.0,10.441767068273093
NPG07,SPAMEDICA EYE HOSPITAL (WAKEFIELD),783,584.0,362.0,6.198630136986302
NPG08,SPAMEDICA BOLTON,620,652.0,814.0,12.484662576687118
NPG10,SPAMEDICA SHEFFIELD,465,408.0,248.0,6.078431372549019
NPG11,SPAMEDICA BIRMINGHAM,795,704.0,624.0,8.863636363636363
NPG13,SPAMEDICA SKELMERSDALE,130,116.0,166.0,14.310344827586208
NPG14,SPAMEDICA WIDNES,344,342.0,306.0,8.947368421052632
NPG15,SPAMEDICA NEWCASTLE-UNDER-LYME,209,240.0,358.0,14.91666666666667
NPG16,SPAMEDICA CHELMSFORD,669,602.0,986.0,16.378737541528242
NPG17,SPAMEDICA PRESTON,349,408.0,472.0,11.568627450980392
NPG18,SPAMEDICA HULL,521,388.0,406.0,10.463917525773196
NPG19,SPAMEDICA BEDFORD,290,342.0,514.0,15.029239766081872
NPG20,SPAMEDICA WOLVERHAMPTON,781,562.0,578.0,10.284697508896798
NPG21,SPAMEDICA COVENTRY,799,536.0,356.0,6.64179104477612
NPG22,SPAMEDICA STOCKTON-ON-TEES,492,386.0,302.0,7.823834196891193
NPG23,SPAMEDICA DERBY,436,508.0,690.0,13.582677165354331
NPR01,ABOUT HEALTH HQ,1588,3570.0,2986.0,8.364145658263306
NQH,NOVUS HEALTH LTD,916,1294.0,1114.0,8.608964451313756
NQM01,ORTHOPAEDICS & SPINE SPECIALIST HOSPITAL SITE,174,100.0,106.0,10.600000000000001
NQX,PROVIDE ENTERPRISES,251,226.0,248.0,10.973451327433628
NR5,LIVEWELL SOUTHWEST,64,74.0,84.0,11.351351351351353
NRF,UNIVERSITY OF SOUTHAMPTON AUDITORY IMPLANT SERVICE,189,144.0,120.0,8.333333333333332
NRL,HEART NETWORKS,591,1014.0,1160.0,11.439842209072978
NRP,BEACON MEDICAL SERVICES GROUP LIMITED,4392,4066.0,2472.0,6.0796851942941466
NT202,"NUFFIELD HEALTH, BOURNEMOUTH HOSPITAL",420,238.0,162.0,6.80672268907563
NT205,"NUFFIELD HEALTH, BRIGHTON HOSPITAL",781,258.0,230.0,8.914728682170542
NT206,"NUFFIELD HEALTH, BRISTOL HOSPITAL (CHESTERFIELD)",571,404.0,466.0,11.534653465346535
NT209,"NUFFIELD HEALTH, CAMBRIDGE HOSPITAL",205,116.0,96.0,8.275862068965518
NT210,"NUFFIELD HEALTH, THE GROSVENOR HOSPITAL, CHESTER",468,258.0,314.0,12.170542635658915
NT212,"NUFFIELD HEALTH, CHICHESTER HOSPITAL",470,236.0,210.0,8.898305084745763
NT213,"NUFFIELD HEALTH, DERBY HOSPITAL",1104,322.0,424.0,13.16770186335404
NT214,"NUFFIELD HEALTH, WESSEX HOSPITAL",561,216.0,282.0,13.055555555555557
NT215,"NUFFIELD HEALTH, EXETER HOSPITAL",363,208.0,136.0,6.538461538461539
NT218,"NUFFIELD HEALTH, HAYWARDS HEATH HOSPITAL",430,190.0,166.0,8.736842105263158
NT219,"NUFFIELD HEALTH, HEREFORD HOSPITAL",386,274.0,264.0,9.635036496350367
NT224,"NUFFIELD HEALTH, WARWICKSHIRE HOSPITAL",435,238.0,196.0,8.23529411764706
NT226,"NUFFIELD HEALTH, LEICESTER HOSPITAL",450,416.0,414.0,9.951923076923078
NT229,"NUFFIELD HEALTH, NEWCASTLE UPON TYNE HOSPITAL",425,282.0,252.0,8.936170212765958
NT230,"NUFFIELD HEALTH, NORTH STAFFORDSHIRE HOSPITAL",1071,336.0,496.0,14.761904761904763
NT233,"NUFFIELD HEALTH, PLYMOUTH HOSPITAL",1008,664.0,522.0,7.86144578313253
NT235,"NUFFIELD HEALTH, SHREWSBURY HOSPITAL",636,352.0,282.0,8.011363636363637
NT237,"NUFFIELD HEALTH, TEES HOSPITAL",1783,872.0,456.0,5.229357798165138
NT238,"NUFFIELD HEALTH, TAUNTON HOSPITAL",580,136.0,186.0,13.676470588235295
NT239,"NUFFIELD HEALTH, TUNBRIDGE WELLS HOSPITAL",87,106.0,108.0,10.18867924528302
NT241,"NUFFIELD HEALTH, WOKING HOSPITAL",340,188.0,262.0,13.936170212765958
NT242,"NUFFIELD HEALTH, WOLVERHAMPTON HOSPITAL",499,298.0,188.0,6.308724832214765
NT244,NUFFIELD HOSPITAL OXFORD (THE MANOR),113,72.0,52.0,7.222222222222223
NT245,"NUFFIELD HEALTH, YORK HOSPITAL",1358,574.0,428.0,7.456445993031359
NT301,SPIRE SOUTH BANK HOSPITAL,657,282.0,376.0,13.333333333333334
NT302,SPIRE BRISTOL HOSPITAL,800,130.0,434.0,33.38461538461539
NT304,SPIRE SOUTHAMPTON HOSPITAL,180,68.0,190.0,27.941176470588236
NT305,SPIRE PORTSMOUTH HOSPITAL,426,64.0,256.0,40.0
NT308,SPIRE GATWICK PARK HOSPITAL,1417,562.0,434.0,7.722419928825623
NT30A,SPIRE NOTTINGHAM HOSPITAL,652,318.0,300.0,9.433962264150944
NT312,SPIRE ALEXANDRA HOSPITAL,1402,690.0,946.0,13.710144927536232
NT313,SPIRE WELLESLEY HOSPITAL,1070,216.0,624.0,28.888888888888893
NT314,SPIRE LONDON EAST,3521,924.0,1572.0,17.012987012987015
NT315,SPIRE BUSHEY HOSPITAL,1138,746.0,540.0,7.238605898123325
NT316,SPIRE HARPENDEN HOSPITAL,679,386.0,824.0,21.34715025906736
NT317,SPIRE CAMBRIDGE LEA HOSPITAL,428,130.0,230.0,17.692307692307693
NT318,SPIRE NORWICH HOSPITAL,765,84.0,408.0,48.57142857142858
NT319,SPIRE HARTSWOOD HOSPITAL,954,320.0,744.0,23.25
NT320,SPIRE PARKWAY HOSPITAL,1226,552.0,628.0,11.3768115942029
NT321,SPIRE LITTLE ASTON HOSPITAL,1375,822.0,838.0,10.194647201946474
NT322,SPIRE LEICESTER HOSPITAL,639,460.0,312.0,6.782608695652175
NT324,SPIRE CHESHIRE HOSPITAL,1070,558.0,824.0,14.767025089605736
NT325,SPIRE MURRAYFIELD HOSPITAL,782,480.0,838.0,17.458333333333336
NT327,SPIRE MANCHESTER HOSPITAL,639,460.0,312.0,6.782608695652175
NT332,SPIRE LEEDS HOSPITAL,884,504.0,480.0,9.523809523809524
NT333,SPIRE WASHINGTON HOSPITAL,2132,876.0,880.0,10.045662100456621
NT337,SPIRE LIVERPOOL HOSPITAL,2173,964.0,1292.0,13.402489626556019
NT339,SPIRE REGENCY HOSPITAL,2197,950.0,700.0,7.368421052631578
