Date,Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways
2026-06-01,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",25086,12066.0,6628.0
2026-06-01,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,39606,23844.0,18224.0
2026-06-01,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,36206,18000.0,12504.0
2026-06-01,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,89788,39552.0,33034.0
2026-06-01,RDR,SUSSEX COMMUNITY NHS FOUNDATION TRUST,13214,4366.0,3028.0
2026-06-01,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,66289,36044.0,34464.0
2026-06-01,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,43280,30916.0,23298.0
2026-06-01,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,62986,26558.0,26750.0
2026-06-01,REN,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,713,732.0,1016.0
2026-06-01,REP,LIVERPOOL WOMEN'S NHS FOUNDATION TRUST,11700,6618.0,6646.0
2026-06-01,RET,THE WALTON CENTRE NHS FOUNDATION TRUST,14881,10642.0,6458.0
2026-06-01,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,21978,14088.0,13404.0
2026-06-01,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,29599,16904.0,13770.0
2026-06-01,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,27020,14154.0,12226.0
2026-06-01,RGM,ROYAL PAPWORTH HOSPITAL NHS FOUNDATION TRUST,5670,3596.0,2980.0
2026-06-01,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,76043,37374.0,29128.0
2026-06-01,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,31349,14344.0,12740.0
2026-06-01,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,33330,15784.0,10810.0
2026-06-01,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,59372,33838.0,30438.0
2026-06-01,RH5,SOMERSET NHS FOUNDATION TRUST,53524,29468.0,24588.0
2026-06-01,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,74068,39470.0,35582.0
2026-06-01,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,63326,34868.0,32104.0
2026-06-01,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NHS TRUST,57558,30690.0,25386.0
2026-06-01,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,35155,20428.0,9080.0
2026-06-01,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,110502,66178.0,57212.0
2026-06-01,RJ2,LEWISHAM AND GREENWICH NHS TRUST,57469,27462.0,21370.0
2026-06-01,RJ6,CROYDON HEALTH SERVICES NHS TRUST,37031,22104.0,18808.0
2026-06-01,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,69329,35924.0,30806.0
2026-06-01,RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,735,514.0,538.0
2026-06-01,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,31289,16938.0,12456.0
2026-06-01,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,72150,38634.0,32870.0
2026-06-01,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,42014,20564.0,18142.0
2026-06-01,RJN,EAST CHESHIRE NHS TRUST,17182,7414.0,5264.0
2026-06-01,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,32730,18556.0,14024.0
2026-06-01,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,89950,49276.0,40458.0
2026-06-01,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,32753,16308.0,13028.0
2026-06-01,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,47271,32208.0,31646.0
2026-06-01,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,72193,32156.0,24726.0
2026-06-01,RKE,WHITTINGTON HEALTH NHS TRUST,22839,16092.0,12680.0
2026-06-01,RL1,THE ROBERT JONES AND AGNES HUNT ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,23398,7722.0,9192.0
2026-06-01,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,72008,32380.0,32084.0
2026-06-01,RLQ,WYE VALLEY NHS TRUST,27486,13972.0,12310.0
2026-06-01,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,19369,10398.0,8218.0
2026-06-01,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,70643,30844.0,29858.0
2026-06-01,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,133909,55078.0,39784.0
2026-06-01,RMC,BOLTON NHS FOUNDATION TRUST,37808,18708.0,12770.0
2026-06-01,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,16793,12322.0,10492.0
2026-06-01,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,42881,16900.0,16286.0
2026-06-01,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,50470,35696.0,33670.0
2026-06-01,RN7,DARTFORD AND GRAVESHAM NHS TRUST,30461,16368.0,14776.0
2026-06-01,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,47261,22488.0,19494.0
2026-06-01,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,34908,18084.0,17600.0
2026-06-01,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,27712,16664.0,12912.0
2026-06-01,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,39604,17544.0,17350.0
2026-06-01,RNZ,SALISBURY NHS FOUNDATION TRUST,29733,16352.0,14616.0
2026-06-01,RP4,GREAT ORMOND STREET HOSPITAL FOR CHILDREN NHS FOUNDATION TRUST,8382,3990.0,4670.0
2026-06-01,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,54327,28580.0,24704.0
2026-06-01,RP6,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,39641,27874.0,26056.0
2026-06-01,RP7,LINCOLNSHIRE PARTNERSHIP NHS FOUNDATION TRUST,10,20.0,20.0
2026-06-01,RPA,MEDWAY NHS FOUNDATION TRUST,34991,16816.0,15094.0
2026-06-01,RPC,QUEEN VICTORIA HOSPITAL NHS FOUNDATION TRUST,21893,8686.0,8606.0
2026-06-01,RPG,OXLEAS NHS FOUNDATION TRUST,166,356.0,376.0
2026-06-01,RPY,THE ROYAL MARSDEN NHS FOUNDATION TRUST,1874,3458.0,4312.0
2026-06-01,RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,21543,10734.0,10032.0
2026-06-01,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,73615,34002.0,26118.0
2026-06-01,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,38558,20970.0,15542.0
2026-06-01,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,26863,20832.0,15482.0
2026-06-01,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,11492,9042.0,7276.0
2026-06-01,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,85753,53080.0,42696.0
2026-06-01,RRE,MIDLANDS PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,10291,11124.0,6966.0
2026-06-01,RRJ,THE ROYAL ORTHOPAEDIC HOSPITAL NHS FOUNDATION TRUST,13283,6762.0,5560.0
2026-06-01,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,93337,56852.0,45984.0
2026-06-01,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,77928,40468.0,33786.0
2026-06-01,RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,84,20.0,12.0
2026-06-01,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,86942,63550.0,49530.0
2026-06-01,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,69868,40336.0,23796.0
2026-06-01,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,39619,23230.0,15906.0
2026-06-01,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,96379,49736.0,38780.0
2026-06-01,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,90587,44508.0,37972.0
2026-06-01,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,54116,26588.0,21136.0
2026-06-01,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,50672,26804.0,19920.0
2026-06-01,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,57203,33900.0,27000.0
2026-06-01,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,35626,21904.0,16028.0
2026-06-01,RVJ,NORTH BRISTOL NHS TRUST,42365,28108.0,23486.0
2026-06-01,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,57011,31320.0,26352.0
2026-06-01,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,82404,36222.0,34900.0
2026-06-01,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,23080,17672.0,16836.0
2026-06-01,RW1,HAMPSHIRE AND ISLE OF WIGHT HEALTHCARE NHS FOUNDATION TRUST,4483,4762.0,3694.0
2026-06-01,RW5,LANCASHIRE & SOUTH CUMBRIA NHS FOUNDATION TRUST,4222,3824.0,4190.0
2026-06-01,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,84186,41264.0,39880.0
2026-06-01,RWD,UNITED LINCOLNSHIRE TEACHING HOSPITALS NHS TRUST,70211,29946.0,19856.0
2026-06-01,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,115279,53608.0,50662.0
2026-06-01,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,50748,28156.0,24680.0
2026-06-01,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,44946,21180.0,18390.0
2026-06-01,RWJ,STOCKPORT NHS FOUNDATION TRUST,34544,17738.0,15312.0
2026-06-01,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,58515,30148.0,25132.0
2026-06-01,RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,102,76.0,112.0
2026-06-01,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,35682,22194.0,22170.0
2026-06-01,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,80092,36950.0,29634.0
2026-06-01,RX4,"CUMBRIA, NORTHUMBERLAND, TYNE AND WEAR NHS FOUNDATION TRUST",154,268.0,184.0
2026-06-01,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,55945,32056.0,29422.0
2026-06-01,RXF,MID YORKSHIRE TEACHING NHS TRUST,55551,33972.0,29136.0
2026-06-01,RXG,SOUTH WEST YORKSHIRE PARTNERSHIP NHS FOUNDATION TRUST,4584,3980.0,3722.0
2026-06-01,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,66744,32746.0,30978.0
2026-06-01,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,40413,18040.0,13990.0
2026-06-01,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,60692,28320.0,22994.0
2026-06-01,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,53479,29424.0,30916.0
2026-06-01,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,47773,23380.0,19454.0
2026-06-01,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,47178,30992.0,24896.0
2026-06-01,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,37236,17394.0,18722.0
2026-06-01,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,84008,52180.0,45978.0
2026-06-01,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,116136,48170.0,42892.0
2026-06-01,RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,14961,10174.0,9912.0
2026-06-01,RYY,KENT COMMUNITY HEALTH NHS FOUNDATION TRUST,4203,2980.0,3798.0
2026-06-01,S1Z4X,NEWMEDICA - BIRMINGHAM,932,652.0,694.0
2026-06-01,S3H9L,THE HAMPTONS HOSPITAL LTD,739,650.0,626.0
2026-06-01,S4E3I,MIDLAND EYE (EYE-DOCS LTD),658,512.0,608.0
2026-06-01,T4I8V,SPAMEDICA CHESTERFIELD,167,162.0,254.0
2026-06-01,T8R5I,SPAMEDICA WOKINGHAM,221,266.0,284.0
2026-06-01,T8V3L,SPAMEDICA DONCASTER,439,366.0,392.0
2026-06-01,TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,607,172.0,196.0
2026-06-01,V4U1Y,SPAMEDICA CHESTER,225,220.0,238.0
2026-06-01,V5F1D,SPAMEDICA TELFORD,459,272.0,332.0
2026-06-01,V8N5R,SPAMEDICA DALSTON,457,382.0,428.0
2026-06-01,Y8L9S,SPAMEDICA BROMLEY,666,486.0,512.0
2026-06-01,Y9S1N,FAIRFIELD INDEPENDENT HOSPITAL,1497,870.0,1184.0
2026-06-01,Z1E5F,NEWMEDICA - HARROGATE,293,214.0,190.0
2026-06-01,Z2L9B,NEWMEDICA - MANCHESTER WEST,345,220.0,228.0
2026-06-01,Z5J5V,SPAMEDICA HAYDOCK,352,336.0,308.0
2026-06-01,Z9Z1G,SPAMEDICA GATESHEAD,486,338.0,366.0
