Date,Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways
2026-06-01,N8R1N,NEWMEDICA - BERKSHIRE,1325,622.0,796.0
2026-06-01,NAM01,PROBUS SURGICAL CENTRE,802,812.0,932.0
2026-06-01,NCN,DMC HEALTHCARE,2638,5312.0,5942.0
2026-06-01,NCR,ISIGHT,1285,670.0,788.0
2026-06-01,NDJ,FIRST COMMUNITY HEALTH AND CARE CIC,960,978.0,912.0
2026-06-01,NEQ,PHOENIX HEALTH SOLUTIONS LIMITED HQ,569,754.0,770.0
2026-06-01,NEY,PIONEER HEALTHCARE LIMITED,106,44.0,54.0
2026-06-01,NFH,SOMERSET SURGICAL SERVICES HQ,1532,684.0,830.0
2026-06-01,NL3,CARE PLUS GROUP,246,254.0,222.0
2026-06-01,NL8,LOCALA COMMUNITY PARTNERSHIPS CIC,1431,934.0,244.0
2026-06-01,NLE01,LANCASTER HOUSE CONSULTING DIAGNOSTICS SURGICAL LTD HQ,1263,470.0,286.0
2026-06-01,NLX,SIRONA CARE & HEALTH,3861,4704.0,5316.0
2026-06-01,NN4,TYNESIDE SURGICAL SERVICES LTD,1508,1154.0,1010.0
2026-06-01,NN5,MANCHESTER SURGICAL SERVICES LTD,417,302.0,246.0
2026-06-01,NN8,SPENCER PRIVATE HOSPITALS LTD,3606,1318.0,422.0
2026-06-01,NNE,DORKING HEALTHCARE LIMITED (DHC),6110,3852.0,3134.0
2026-06-01,NPG01,SPAMEDICA MANCHESTER,291,258.0,362.0
2026-06-01,NPG02,SPAMEDICA WIRRAL,417,390.0,480.0
2026-06-01,NPG06,SPAMEDICA LIVERPOOL,490,498.0,520.0
2026-06-01,NPG07,SPAMEDICA EYE HOSPITAL (WAKEFIELD),783,584.0,362.0
2026-06-01,NPG08,SPAMEDICA BOLTON,620,652.0,814.0
2026-06-01,NPG10,SPAMEDICA SHEFFIELD,465,408.0,248.0
2026-06-01,NPG11,SPAMEDICA BIRMINGHAM,795,704.0,624.0
2026-06-01,NPG13,SPAMEDICA SKELMERSDALE,130,116.0,166.0
2026-06-01,NPG14,SPAMEDICA WIDNES,344,342.0,306.0
2026-06-01,NPG15,SPAMEDICA NEWCASTLE-UNDER-LYME,209,240.0,358.0
2026-06-01,NPG16,SPAMEDICA CHELMSFORD,669,602.0,986.0
2026-06-01,NPG17,SPAMEDICA PRESTON,349,408.0,472.0
2026-06-01,NPG18,SPAMEDICA HULL,521,388.0,406.0
2026-06-01,NPG19,SPAMEDICA BEDFORD,290,342.0,514.0
2026-06-01,NPG20,SPAMEDICA WOLVERHAMPTON,781,562.0,578.0
2026-06-01,NPG21,SPAMEDICA COVENTRY,799,536.0,356.0
2026-06-01,NPG22,SPAMEDICA STOCKTON-ON-TEES,492,386.0,302.0
2026-06-01,NPG23,SPAMEDICA DERBY,436,508.0,690.0
